coastal acidification sea grant,"""sea grant"" AND ""acidification"""
House Natural Resources Committee Issues Report on Keep America's Waterfronts Working Act,Maine finally addressing climate change in the gulf
Sen. Murkowski Introduces Bill to Address Ocean Acidification,"Senate Appropriations Committee Issues Report on 2020 Commerce, Justice, Science Appropriations Bill (Part 3 of 10)"
"Utrecht University, Royal Netherlands Institute for Sea Research Join Forces in Eleven More Joint Research Projects on Coastal Seas, Oceans",Greality: Greeley native earns funding to study ocean; distillery earns award; Assistance League accepting donations
Congressional Research Service: 'Ocean Acidification - Frequently Asked Questions',Maine finally addressing climate change in the gulf
"Island Institute Awarded $240,000 Grant from the National Academies to Support Disaster Preparedness in Maine's Island and Coastal Communities",Sen. Murkowski Introduces Bill to Address Ocean Acidification
Website launched to monitor ocean acidification off Alaska,"Commerce Issues Annual Report Entitled 'Technology Transfer: Approach and Plans, FY 2020 Activities and Achievements' (Part 3)"
"Are Rising Seas, Coastal Erosion & Powerful Storms a Wave of the Future for Small Island Nations?",Alaska Sea Grant: New Video Focuses on Alaska's Acidifying Oceans
NOAA Sea Grant Liaisons Address Critical Research Areas Across Federal Agencies,Maine finally addressing climate change in the gulf
"Reps. Bonamici, Young Call for Investment in Ocean, Coastal Recovery",NOAA Sea Grant Liaisons Address Critical Research Areas Across Federal Agencies
Congressional Research Service: 'Federal Involvement in Ocean-Based Research & Development' (Part 2 of 2),USING VR TO SHOW CLIMATE REALITY
Keeping tabs on our blue backyard,"Reps. Bonamici, Young Call for Investment in Ocean, Coastal Recovery"
Sea Champion for Ocean and Air Post,"Former Interior Secretary Sally Jewell Brings Leadership to UW Community, New EarthLab Initiative"
"Duke University-Nicholas School of Environment: Dual Approach Needed to Save Sinking Cities, Bleaching Corals",Deeper EPA cuts pose a particular menace to Maine
"Reps. Bonamici, Posey Lead Bipartisan Call for $10B Investment in Coastal Restoration Jobs",Nicholls Chemistry Student Receives Grant for Research That Led to Publication and a Bombshell Discovery
Congressional Research Service: 'Federal Involvement in Ocean-Based Research & Development' (Part 2 of 2),Nutrient Pollution Makes Ocean Acidification Worse for Coral Reefs
"Sea Champion Picked for Ocean, Air Agency","Maine Sea Grant, University of Maine Advance $2M Initiative Aimed at Increasing Resilience in the Lobster Fishery"
Nicholls Chemistry Student Receives Grant for Research That Led to Publication and a Bombshell Discovery,Ocean's acidity causes concern for shellfish
Keeping tabs on our blue backyard,SEN. MARIA CANTWELL HOLDS A HEARING ON THE F.Y. 2008 BUDGET FOR THE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION
"Maine Sea Grant, University of Maine Advance $2M Initiative Aimed at Increasing Resilience in the Lobster Fishery","DEC and New York Sea Grant Announce Nearly $570,000 in New York Ocean Research Grants"
House Infrastructure Subcommittee Issues Testimony From Office of the Governor of Virginia,Rep. Pingree's Bipartisan Legislation to Protect America's Working Waterfronts Passes House
"DEC and New York Sea Grant Announce Nearly $570,000 in New York Ocean Research Grants",House Select Committee on Climate Crisis Issues Testimony From Under Secretary of Commerce Spinrad
Rep. Pingree's Bipartisan Legislation to Protect America's Working Waterfronts Passes House,Marine Biological Laboratory: Can Growing Seaweed Protect Shellfish Farms As Climate Warms? The Roberson Lab Is Finding Out
House Select Committee on Climate Crisis Issues Testimony From Under Secretary of Commerce Spinrad,VIMS scientists track climate toll on lobster
"Tasty and Pink, Sea Urchin Species May Be a Climate-Tolerant Food Source","State sets aside years of skepticism to confront Gulf of Maine warming ""Climate change was a dirty term politically in Maine, and people didn't think it was real or didn't want to react to it."""
"OSU, Consortium Get NSF Grant to Continue Ocean Observatories Initiative","Tasty and Pink, Sea Urchin Species May Be a Climate-Tolerant Food Source"
Warming waters,Warming waters
"Oregon State Alumna, Leader of California Marine Science Center to Lead Oregon Sea Grant","Oregon State Alumna, Leader of California Marine Science Center to Lead Oregon Sea Grant"
"Maine Sea Grant receives $800,000 in federal funding",King: Data key to protecting lobster fishery
5 Rep. Kilmer Bills to Combat Climate Change Included in New Climate Crisis Recommendations,"Maine Sea Grant receives $800,000 in federal funding"
Unraveling the Mysteries of Spot Shrimp,Unraveling the Mysteries of Spot Shrimp
"Reps. Young, Bonamici Call for Investment in Ocean, Coastal Recovery",Survey: Oyster Industry More Sold on Ocean Acidification Impacts than Public
"University of California Davis: For Red Abalone, Resisting Ocean Acidification Starts With Mom","UMaine Researchers Find Rising Ocean Temperatures, Acidification Worsen Immune Response, Physiology in Lobsters"
OSU-based Oregon Sea Grant to Award Grants to Researchers in Oregon,"Reps. Young, Bonamici Call for Investment in Ocean, Coastal Recovery"
Rep. Kilmer's Bipartisan Bill to Fight Ocean Acidification Passes House,King seeks data on lobsters at conference
House Natural Resources Committee Issues Testimony From National Ocean Service Acting Administrator LeBoeuf,"University of California Davis: For Red Abalone, Resisting Ocean Acidification Starts With Mom"
State largely ignores role as seas grow more acidic,OSU-based Oregon Sea Grant to Award Grants to Researchers in Oregon
State Department Fact Sheet: 'U.S. Announces Commitments at 7th Our Ocean Conference',Ocean's acidity causes concern for shellfish
Connecticutâ€™s coastal economy is worth preserving,Stony Brook University: Chris Gobler's LI Sound Research Receives Federal Funding
"Ahead of Earth Day, Reps. Carbajal and Fitzpatrick Introduce Bipartisan Bills to Protect U.S. Coastlines, Promote Ocean Health",Rep. Kilmer's Bipartisan Bill to Fight Ocean Acidification Passes House
"Coast Monitoring: $900,000 available for ocean research",Scientists investigate climate change impact on fisheries
"NOAA, Partners Provide Real-Time Ocean Acidification Data To Pacific Coast Shellfish Growers","Acting Director of NOAA's National Ocean Service, Office of Ocean and Coastal Resource Management, Margaret Davidson speaks on Impacts of Environmental Changes on Treaty Rights, Traditional Lifestyles, and Tribal Homelands"
"Reps. Fitzpatrick, Carbajal Reintroduce Bipartisan Bills to Protect U.S. Coastlines, Promote Ocean Health",House Natural Resources Committee Issues Testimony From National Ocean Service Acting Administrator LeBoeuf
Pacific takes a perilous turn,House Passes Bonamici Provisions to Accelerate Ocean Research in Climate Crisis
Keeping tabs on our blue backyard,State largely ignores role as seas grow more acidic
New Alaska Sea Grant-Funded Graduate Students Dive Into Research,Findings Portend Benefits in Restoration and Aquaculture
"Maine islands at risk as ocean levels rise Change means challenges for each of these coastal micro-economies, where resilient communities are already planning for the 'what-ifs.'",Channel Islands National Marine Sanctuary Advisory Council Issues Public Comment on NOAA Notice
WHOI Scientists Receive $1 Million Grant from MacArthur Foundation,How scientists are using virtual reality to show people effects of global warming
"Reps. Herrera Beutler, Kilmer, Bonamici, Young Introduce Bipartisan Bill to Fight Ocean Acidification",University of California-Davis: Climate Change Could Shrink Oyster Habitat in California
Briefs,New Alaska Sea Grant-Funded Graduate Students Dive Into Research
State action on gulf acidification sluggish,"Reps. Herrera Beutler, Kilmer, Bonamici, Young Introduce Bipartisan Bill to Fight Ocean Acidification"
"Senate Commerce Committee Chair Cantwell: NOAA Announces $3.31 Billion Investment in Coastal Resilience, Salmon Recovery, and Infrastructure - Largest in Agency's History",Sen. King tells researchers that data is the key to protecting lobster industry
UCSB Receives Grant to Study Ocean Acidification,"Philippe Cousteau, Jr. To Lead EarthEcho Expedition in America's Pacific Northwest to Help Solve Ocean Acidification"
Tiny snails offer insight to sea woes,"Philippe Cousteau, Jr.'s EarthEcho International Profiles Youth Leaders in Action with EarthEcho Expedition: Shell Shocked"
Environmental education; Grant to fund new class at Sandoway Discovery Center; Delray Beach,University of Hawaii: Hawaiian Corals Show Surprising Resilience to Warming Oceans
House Natural Resources Committee Issues Report on Coastal State Climate Preparedness Act,King seeks data on lobsters at Portland conference
Keeping tabs on our blue backyard,Earth Day Awards honor local efforts
House Rules Committee Issues Report on Coastal Zone Management Act (Part 1 of 3),Chair Huffman Introduces Bipartisan Bill to Reauthorize National Sea Grant College Program
Sen. Murkowski Introduces Bill to Address Ocean Acidification,"At last week's United Nations Climate Change Conference in Germany,... [Derived headline]"
Action sluggish on acidification,House Natural Resources Subcommittee Issues Testimony From Alaska Ocean Observing System
Chair Huffman Introduces Bipartisan Bill to Reauthorize National Sea Grant College Program,"Murkowski's Appropriations Work Strengthens Alaska's Communities, Fisheries"
House Rules Committee Issues Report on Coastal Zone Management Act (Part 2 of 3),Warming waters
Virginia Tech Launches the Center for Coastal Studies to Address Complex Issues in the Coastal Zone,"Join lobstermen, others concerned with environment at climate march"
House Natural Resources Subcommittee Issues Testimony From Alaska Ocean Observing System,Salmon May Lose the Ability to Smell Danger as Carbon Emissions Rise
NOAA Awards More Than $1.3 Million to Predict Coastal Acidification Impacts to Commercial Species and Vulnerable Habitats,House Select Committee on Climate Crisis Issues Testimony From University Florida Professor
"Murkowski's Appropriations Work Strengthens Alaska's Communities, Fisheries",'Need a crystal ball to see what the future holds'
Warming waters,"WASHINGTON OYSTERS STRUGGLE AS WATER pH SHIFTS Legislature funds Department of Natural Resources plan to restore kelp, eelgrass in hopes to help shellfish farms"
Congressional Research Service: 'Federal Involvement in Ocean-Based Research & Development' (Part 2 of 2),2018 Presidential Award Winners Named
"Hundreds of scientists gather in Portland to address The Gulf of Maine 2050 International Symposium is aimed at sharing the latest science on ocean acidification and rising sea levels and ocean temperatures, and how those changes will affect the region's economy, environment and people.",Cal Poly Research Finds Abalone May Be Resilient During Ocean Acidification
House Natural Resources Committee Issues Testimony From U.S. Virgin Islands Department of Planning & Natural Resources,Lobsters in a Virginia lab can tell us about the threats of climate change
'Need a crystal ball to see what the future holds',NOAA Sea Grant Awards $15.9 Million For Projects To Build Resilient Coastal Communities
NOAA Sea Grant Awards $15.9 Million For Projects To Build Resilient Coastal Communities,Halibut prices through the roof as quota cuts reduce supply
Senate Commerce Committee Issues Report on Coordinated Ocean Observations & Research Act (Part 2 of 2),Ocean's acidity causes concern for shellfish
Scientists gather in Portland to discuss climate change in Gulf of Maine,"Despite high prices, halibut stays in demand"
University of Hawaii Manoa: $9M Grant Aims to Restore Waikiki Reefs With Coral Nurseries,Climate change affects fish and reefs
OSU Inks Largest Research Grant in Its History to Begin Ship Construction,$2 million awarded to funding lobster research in Maine
"Environment Grants of $117,000 Aid Climate Change Research","Sen. Murphy Secures Robust Funding to Support Long Island Sound Aquaculture Research, Connecticut Shellfish Industry & NOAA's Milford Lab"
Bahamas Builds Resilience Against a Surging Sea,"Written Statement Of Kathryn Sullivan, Ph.D. Acting Under Secretary Of Commerce For Oceans And Atmosphere And Acting NOAA Administrator Before The Subcommittee On Fisheries, Wildlife, Oceans, And Insular Affairs Committee On Natural Resources"
Riding the research wave Oregon State hopes Newport building and Marine Studies Initiative will be a boon for science and the coast,"Hey drivers, follow laws, keep us all safe"
Rep. Pingree's Bill to Preserve Working Waterfronts Gets First Hearing in 116th Congress,University of Maine Research Institutions Receive More Than $660k to Study the American Lobster
Rep. Posey Recognizes National Estuary Week,Fish & Wildlife Service Review Marine Mammal Stock Assessment Report for Southern Sea Otter
United States: United States Announces $800 Million in International Commitments for Protecting Our Ocean,Alaskan seafood has opening in home meal replacement kits
Fish & Wildlife Service Review Marine Mammal Stock Assessment Report for Southern Sea Otter,Walker orders mariculture task force
Sustaining local fishermen,Ocean Conservancy Issues Statement on $700 Million Cut to NOAA Budget Proposed by House
IOOS Awards $31M for Ocean Observing,An ocean of research Hatfield Marine Science Center celebrates 50 years in Newport
In troubled waters,House Natural Resources Subcommittee Issues Testimony From NOAA Administrator Spinrad
"Reps. Carbajal and Fitzpatrick Reintroduce Bipartisan Bills to Protect U.S. Coastlines, Promote Ocean Health",REP. JOHN CULBERSON
THREAT TO KEY RESOURCE DRAWS A TEPID RESPONSE,New oceanography major now open to undergraduates
Maine finally addressing climate change in the gulf,New Federal Money For Hawai'i Ocean Management
Researchers tackle data gaps in ocean acidification impacts,Bristol Bay Students Learn Lessons in State Politics in Juneau
"Jaime Herrera Beutler's Bipartisan Bill to Fight Ocean Acidification Approved By Committee, Ready for Full House Vote",URI to Host Lecture Series on 'State of Our Oceans' Beginning Feb. 8
"King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities",REP. RALPH M. HALL HOLDS A HEARING ON THE NOAA AND EPA BUDGETS
"Run-Off, Emissions Deliver Double Whammy To Coastal Marine Creatures, UGA Study Finds",Annual best and worst of the past year in state fisheries
State Department of Environmental Conservation Releases Final Ocean Action Plan for New York,Cooperative Agreements Make $2 Million Available for American Lobster Research
Maine finally addressing climate change in the gulf,The world in your hands
SEANET Announces Grants for Down East Aquaculture Research,Foreign fishermen to 'talk shop' at forum
Murkowski Supports a Safer and More Prosperous Alaska,Trump's budget cuts may cripple programs
"House Appropriations Issues Report on Commerce, Justice, Science Appropriations Bill - Title I - Office of Oceanic & Atmospheric Research (Part 4 of 12)",Summer Interns Focus on Seafood Science in Kodiak
Bering Sea Fishermen's Association Issues Public Comment to Commerce Dept.,"Reps. Pingree, Wittman Reintroduce Bipartisan Bill to Preserve Working Waterfronts"
Greality: Greeley native earns funding to study ocean; distillery earns award; Assistance League accepting donations,Alaska Mariculture Task Force Issues Final Report Report to Gov. Dunleavy
Maine finally addressing climate change in the gulf,"Reps. Wittman, Pingree Reintroduce Bipartisan Bill to Preserve Working Waterfronts"
"Commerce Issues Annual Report Entitled 'Technology Transfer: Approach and Plans, FY 2020 Activities and Achievements' (Part 3)","Cooperative Agreement Makes $36.8 Million Available for Cooperative Institute to Support NOAA Marine Research, Ecosystem Management"
House Space Subcommittee Issues Testimony From Mote Marine Laboratory President Crosby,"King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities"
"King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities",Issuance of an Incidental Harassment Authorization Notice Posted in Federal Register
Maine finally addressing climate change in the gulf,Murkowski Supports a Safer and More Prosperous Alaska
The Student Cha,"House Appropriations Issues Report on Commerce, Justice, Science Appropriations Bill - Title I - Office of Oceanic & Atmospheric Research (Part 4 of 12)"
"House Science, Space & Technology Committee Issues Report on COAST Research Act",NOAA Fisheries Alaska Issues Report Entitled 'Aquaculture Accomplishments'
U.S. university receives grant to begin new research vessel construction,House Natural Resources Committee Issues Report on Keep America's Waterfronts Working Act
Whitehouse Introduces Legislation to Protect Oceans & Coastal Communities,"As Earth Day Approaches, Celebrate Texas A&M's Commitment to Sustainability"
"Former Interior Secretary Sally Jewell Brings Leadership to UW Community, New EarthLab Initiative",House Space Subcommittee Issues Testimony From Mote Marine Laboratory President Crosby
Deeper EPA cuts pose a particular menace to Maine,REP. JOHN CULBERSON
OSU Scientists to Study Effects of Acidification on Shellfish,"Island Institute Awarded $240,000 Grant from the National Academies to Support Disaster Preparedness in Maine's Island and Coastal Communities"
SEN. MARK BEGICH HOLDS A HEARING ON INNOVATIVE PARTNERSHIPS IN OCEAN OBSERVATION,"King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities"
House of Committee on Rules Issues Report on Tribal Coastal Resiliency Act (Part 1 of 2),Maine environmental advocates warn of 'crippling' cuts in Trump budget
Rep. Young's Legislation to Remove Ocean Debris and Promote Healthy Waters Passes the House,NOAA: Ensuring A Future For Seafood In A Changing Ocean - Part 2
United States: Our Ocean 2016 Commitments,Appropriations Committee Passes Funding For Tsunami Warning System
Nutrient Pollution Makes Ocean Acidification Worse for Coral Reefs,Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveys Along the Oregon and California Coasts Notice Posted in Federal Register
Ocean's acidity causes concern for shellfish,The Aua Transect
SEN. MARIA CANTWELL HOLDS A HEARING ON THE F.Y. 2008 BUDGET FOR THE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,NOAA Administrator Jane Lubchenco stepping down in February (Posted 2012-12-12 17:15:58)
House Infrastructure Subcommittee Issues Testimony From Office of Governor of Virginia,"Down East Maine producer of Kelp Krunch, Dulse seaweed products plans $1.5M expansion"
"State sets aside years of skepticism to confront Gulf of Maine warming ""Climate change was a dirty term politically in Maine, and people didn't think it was real or didn't want to react to it.""","THE `CANARIES' UNDER THE SOUND ; MICROSCOPIC SHELLS SHED BY SINGLE-CELLED CREATURES LIE DEEP WITHIN THE ESTUARY'S SEDIMENT, AND RESEARCHERS BELIEVE THEY HAVE A LOT TO TELL US ABOUT CLIMATE CHANGE."
"Sen. Cantwell, Democrats Deliver Wins to Boost Sustainable Aviation Fuel, Support Coastal, Climate Resiliency, Improve Weather Forecasting in Inflation Reduction Act",Kodiak Summer Interns Benefit Seafood Industry
Maritime climate actions for Pakistan's 2030 Plan,UNCA alum among graduation speakers
Capps Introduces Bill to Combat Ocean Acidification,NOAA Administrator Jane Lubchenco stepping down in February (Posted 2012-12-13 19:27:24)
Ocean's acidity causes concern for shellfish,"Candidates to debate, oil, gas and mining issues at ComFish"
"Committee Approves FY2020 Commerce, Justice, Science Appropriations Bill",Marine Science Symposium Offers Teaching Ideas
"Reps. Bonamici, Young Lead Bipartisan Call for $10B Coastal Community Investment in Build Back Better Plan","Gear, Not Geoducks, Impacts Ecosystem If Farming Increases"
Stony Brook University: Chris Gobler's LI Sound Research Receives Federal Funding,Foreign fishermen to 'talk shop' at forum
House Science Committee Issues Testimony From Woods Hole Oceanographic Institution,Economist: Many factors involved in retail salmon prices
"Acting Director of NOAA's National Ocean Service, Office of Ocean and Coastal Resource Management, Margaret Davidson speaks on Impacts of Environmental Changes on Treaty Rights, Traditional Lifestyles, and Tribal Homelands",Walker orders mariculture task force
House Passes Bonamici Provisions to Accelerate Ocean Research in Climate Crisis,We can help slow changes to climate
Rep. Pingree Calls American Jobs Plan Once-in-a-Generation Opportunity to Modernize Nation's Infrastructure,House Appropriations Subcommittee Issues Joint Testimony From NOAA
â€˜Itâ€™s happening nowâ€™: how rising sea levels are causing a US migration crisis,"Committee Approves FY2020 Commerce, Justice, Science Appropriations Bill"
"Young, Bonamici Unveil Next Step to Remove, Prevent Marine Pollution",Lecture series focuses on ocean concerns
What Can Fossil Shellfish Tell Us About Our Environmental Future? Plenty.,"CSU's COAST, Others to Convene at Global PRIMO Sessions to Address Toxins in Aquatic Life, May 15-18 in Long Beach"
Maritime climate actions for Pakistan's 2030 plan |,"Economy top concern at forum Fishermen's event to tackle rules, ocean energy"
Congressional Research Service: 'Federal Involvement in Ocean-Based Research & Development' (Part 1 of 2),"Where Trump would cut, Congress would restore"
Honolulu Sues Petroleum Companies For Climate Change Damages to City,EVENTS
Researchers Recover Recorder from Antarctic Waters Containing Critical Baseline on Acidification,Childrenâ€™s Museum of the Brazos Valley â€“ â€œUnder the Seaâ€ Oceanography Camp - Maroon Weekly
NOAA Announces $4.9 Million for Collaborative Research Projects to Help Coastal Communities Manage Effects of Climate Change,"Keynote Address by the NOAA Administrator at the International Coral Reef Symposium 2010, Cairns, Australia"
State Dept. Fact Sheet: U.S. Announces $800 Million in International Commitments for Protecting Our Ocean,'State of the Coast' Conference Set for Oct. 27 in Coos Bay
House Infrastructure Subcommittee Issues Testimony From Chesapeake Bay Foundation,H APPROPS HEARING ON THE DEPARTMENT OF COMMERCE F.Y. 2018 BUDGET
"Gullah/Geechee Nation, Gullah/Geechee Sea Island Coalition Issue Public Comment on FEMA Notice",Earth Day Awards honor local efforts
VEGGIES OF THE SEA,"HOUSE APPROPRIATIONS COMMITTEE, COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON F.Y. 2019 NOAA BUDGET"
FACT SHEET: Leading at Home and Internationally to Protect Our Ocean and Coasts,Alaska may profit from popularity of home-meal kits
International Research Team to Study Effects of Ocean Acidification on Iron Availability to Phytoplankton in North Pacific,Trump's budget cuts may cripple programs
Hundreds of scientists gather in Portland to address climate change in the Gulf of Maine,sea star wasting syndrome
"Senate Appropriations Committee Issues Report on Departments of Commerce, Justice, Science, Related Agencies Appropriations Bill, 2018 (Part 2 of 7)",Picks and pans feature best and worst in 2017 fish news
UC Santa Barbara Marine Scientists Receive Multimillion-Dollar NSF Grants to Fund Long-Term Research,VEGGIES OF THE SEA
"Philippe Cousteau, Jr. To Lead EarthEcho Expedition in America's Pacific Northwest to Help Solve Ocean Acidification",Takes of Marine Mammals Incidental to Specified Activities Notice Posted in Federal Register
House Science Subcommittee Issues Testimony From NOAA Director Thur,Sen. Blumenthal Demands Measures to Ensure Connecticut Fisherman Get a Fair Shake
"Philippe Cousteau, Jr.'s EarthEcho International Profiles Youth Leaders in Action with EarthEcho Expedition: Shell Shocked","HOUSE APPROPRIATIONS COMMITTEE, COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON F.Y. 2019 NOAA BUDGET"
European Union: EU leads the way with ambitious action for cleaner and safer seas,Senate panel considers Robinson nomination to NOAA
Federal ocean-study lab in Sandy Hook could be closed,House Science Subcommittee Issues Testimony From NOAA Director Thur
Montana Team Takes Home Both Top Prizes in $2 Million Wendy Schmidt Ocean Health XPRIZE,Maryland Commission on Climate Change Issues Report Entitled 'Recommendations for Reducing Greenhouse Gas Emissions and Preparing for and Adapting to the Impacts of Climate Change' (Part 1 of 3)
"Bonamici, Young Unveil Next Step to Remove, Prevent Marine Pollution",OSU Names Lubchenco Adviser for Marine Sciences
14 Teams Advance to Seattle Aquarium in Pursuit of $2 Million Wendy Schmidt Ocean Health XPRIZE,Univ. of Miami Student Bignami Among 5 Guy Harvey Scholarship Recipients
"House Appropriations Committee Issues Report on Commerce, Justice, Science, Related Agencies Appropriations Bill, 2018 (Part 7 of 7)",Congress set to reject Trump's wide range of federal program cuts
"At last week's United Nations Climate Change Conference in Germany,... [Derived headline]",Mike Spranger: It's an ocean world
"Dire state of ocean's health met with tide of pledges at UN Ocean Conference, as Lisbon Declaration launches new chapter for ocean action","Candidates to debate, oil, gas and mining issues at ComFish"
"Governor Lincoln D. Chafee Announces Six Teams to Share $810,000 in 2013 Collaborative Research Grant Awards","Good for business and nature, kelp grows on Maine fishermen"
Northern Chumash Bear Clan Issues Public Comment on OSHA Proposed Rule,Coast Guard begins Arctic research cruise
URI Researchers are Partners on All Six Grants Awarded to Foster Collaboration in Rhode Island,Senate Science Subcommittee Issues Testimony From Lake Superior National Estuarine Research Reserve
"Join lobstermen, others concerned with environment at climate march",House Transportation & Infrastructure Subcommittee Issues Testimony From NOAA
House Select Committee on Climate Crisis Issues Testimony From University Florida Professor,USM Hosting Panel on Federal Budget Cuts and Maine Fisheries
Scientists look to protect Gulf of Maine,"Good for business and nature, kelp grows on Maine fishermen"
2018 Presidential Award Winners Named,"Mainers have a strong voice - tell Collins why we need science funding Amid a budget battle, an oceanographer seeks help advocating for NOAA, the National Science Foundation and the U.S. Geological Survey."
United States: Announcements by the United States at Our Ocean 2016,"Written Statement of Kathryn Sullivan, Ph.D. Acting Under Secretary of Commerce for Oceans and Atmosphere and Acting NOAA Administrator on the National Oceanic and Atmospheric Administration's FY 2014 Budget Request"
REP. EDWARD J. MARKEY HOLDS A HEARING ON U.S. PREPAREDNESS FOR GLOBAL WARMING,Weather records back Cicilline climate claim
UNH Ocean Scientists Get Funds for Continued Coastal Water Monitoring,Winlock High School Team Competes at Annual Orca Bowl
New Report Shows Ocean Resources and Coastal Communities Are Vital to Overall U.S. Economy yet Climate Change Poses Major Threat,H APPROPS HEARING ON THE DEPARTMENT OF COMMERCE F.Y. 2018 BUDGET
OSU lands $122M grant for Newport research ship,"REP. FRANK R. WOLF, R-VA., HOLDS A HEARING ON NOAA BUDGET"
Ocean's acidity causes concern for shellfish,Shellfish show promise
Salesforce.Com Inc to Participate In A Panel Discussion 'Taking Action for the Ocean' - Final,Acidifying Oceans Could Spell Trouble for Squid
UConn Research: More Carbon in the Ocean Can Lead to Smaller Fish,Maine Conservationists Endorse Tom Allen for Senate
Group issues call to action to protect coast,"House Appropriations Committee Issues Report on Commerce, Justice, Science, Related Agencies Appropriations Bill 2019 (Part 6 of 6)"
