Title,Subtitle,Author,Publication,SourceType,Publisher,Volume,Issue,PubDate,AlphaDate,StartPage,EndPage,PageRange,ISSN,EISSN,ISBN,Language,Abstract,DocumentUrl
Nutrient Pollution Makes Ocean Acidification Worse for Coral Reefs,,,Targeted News Service,Wire Feeds,,,,6/8/2018,8-Jun-18,n/a,,,,,,ENG,,https://www.proquest.com/docview/2052588622?accountid=12492&bdid=39766&_bd=O1k%2Fa3LxME%2B07EeCETGj7cjV0vc%3D
"Maine Sea Grant, University of Maine Advance $2M Initiative Aimed at Increasing Resilience in the Lobster Fishery",,,Targeted News Service,Wire Feeds,,,,9/13/2019,13-Sep-19,,,,,,,ENG,,https://www.proquest.com/docview/2289615690?accountid=12492&bdid=39766&_bd=ssT5PwuSEx%2FLhWUAYwT1jjoxDoM%3D
Ocean's acidity causes concern for shellfish,,"Bates, Todd B",Asbury Park Press,Newspapers,,,,2/26/2015,26-Feb-15,1,,,,,,ENG,"Â Increase funding for targeted research and monitoring programs that help protect the shellfish industry, such as the National Oceanic and Atmospheric Administration's Sea Grant program and the Federal Ocean Acidification Research and Monitoring program.",https://www.proquest.com/docview/1660112607?accountid=12492&bdid=39766&_bd=F9fes0dgfpygf38ghPj5zTT9M0Q%3D
SEN. MARIA CANTWELL HOLDS A HEARING ON THE F.Y. 2008 BUDGET FOR THE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,,,Political Transcript Wire,Wire Feeds,,,,7/2/2007,2-Jul-07,n/a,,,,,,ENG,,https://www.proquest.com/docview/467223902?accountid=12492&bdid=39766&_bd=zTWRB6PKTCWkW9mXdK6d6QJ4aKY%3D
"DEC and New York Sea Grant Announce Nearly $570,000 in New York Ocean Research Grants",,,Targeted News Service,Wire Feeds,,,,1/31/2019,31-Jan-19,n/a,,,,,,ENG,,https://www.proquest.com/docview/2174281307?accountid=12492&bdid=39766&_bd=f%2F47RH%2FL9hbQx3Fhhagtt2Ymdvw%3D
Rep. Pingree's Bipartisan Legislation to Protect America's Working Waterfronts Passes House,,,Targeted News Service,Wire Feeds,,,,12/10/2019,10-Dec-19,,,,,,,ENG,,https://www.proquest.com/docview/2323435828?accountid=12492&bdid=39766&_bd=k8wLe9RoKV0y%2F98q6sSJGnLU4QI%3D
House Select Committee on Climate Crisis Issues Testimony From Under Secretary of Commerce Spinrad,,,Targeted News Service,Wire Feeds,,,,6/22/2022,22-Jun-22,,,,,,,ENG,,https://www.proquest.com/docview/2679243735?accountid=12492&bdid=39766&_bd=nVqA8WdUIYEaXWo0EMkeALV6468%3D
Marine Biological Laboratory: Can Growing Seaweed Protect Shellfish Farms As Climate Warms? The Roberson Lab Is Finding Out,,,Targeted News Service,Wire Feeds,,,,1/7/2023,7-Jan-23,,,,,,,ENG,,https://www.proquest.com/docview/2761543679?accountid=12492&bdid=39766&_bd=P8SfcjzDsT7vvxelvsTmpCeG9PA%3D
VIMS scientists track climate toll on lobster,,"Hafner, Katherine",Daily Press,Newspapers,,,,12/27/2020,27-Dec-20,A.3,,,,,,ENG,,https://www.proquest.com/docview/2472760337?accountid=12492&bdid=39766&_bd=HrqSv0xUNPj5bWy%2Fj1tx1NHVKoQ%3D
"State sets aside years of skepticism to confront Gulf of Maine warming ""Climate change was a dirty term politically in Maine, and people didn't think it was real or didn't want to react to it.""",,"Woodard, Colin",Portland Press Herald,Newspapers,,,,9/16/2019,16-Sep-19,A.1,,,26895900,,,ENG,,https://www.proquest.com/docview/2290685001?accountid=12492&bdid=39766&_bd=FPGG40nNF%2FWe3JMIxRLsyqtCNpo%3D
"Tasty and Pink, Sea Urchin Species May Be a Climate-Tolerant Food Source",,,Targeted News Service,Wire Feeds,,,,1/31/2018,31-Jan-18,n/a,,,,,,ENG,,https://www.proquest.com/docview/1992998735?accountid=12492&bdid=39766&_bd=4DK%2B0z2vVL0JYjsvKlUBgBseVSc%3D
Warming waters,Oregon fishing families face impacts of climate change,"Loew, Tracy",Statesman Journal,Newspapers,,,,6/16/2021,16-Jun-21,T.1,,,7395507,,,ENG,,https://www.proquest.com/docview/2541148217?accountid=12492&bdid=39766&_bd=xEskBp3gWOPYpo2z87pTZHoz1I0%3D
"Oregon State Alumna, Leader of California Marine Science Center to Lead Oregon Sea Grant",,,Targeted News Service,Wire Feeds,,,,4/15/2022,15-Apr-22,,,,,,,ENG,,https://www.proquest.com/docview/2650179173?accountid=12492&bdid=39766&_bd=4OHHnYUT6tMbQ783XiHtbl0KHPU%3D
King: Data key to protecting lobster fishery,Maine's independent senator calls proposed cuts in federal science funding 'unacceptable.',"Overton, Penelope",Portland Press Herald,Newspapers,,,,6/6/2017,6-Jun-17,C.3,,,26895900,,,ENG,"President Trump's budget calls for a 17 percent cut to the National Oceanic and Atmospheric Administration, which oversees the national fisheries programs and funded almost a fifth of Maine Department of Marine Resources' annual budget. While he thinks funding for science will continue, King said he can't guarantee the safety of anything, much less for any particular type of funding, such as fisheries research that might be construed as evidence of climate change, a scientific conclusion that some in Trump's administration reject, and some others argue is not a result of human activities. The funding also would allow the purchase of technology that enables remote data entry by department science staffers, who now spend as much as 28 percent of their time entering data in the field instead of conducting actual research and data analysis, department spokesman Jeff Nichols said. The fate of the department's effort to increase lobster research...",https://www.proquest.com/docview/1906039987?accountid=12492&bdid=39766&_bd=5QAlFOCjdYT52fsHN0auSsbMBeI%3D
"Maine Sea Grant receives $800,000 in federal funding",,"Hadyniak, Kyle",University Wire,Wire Feeds,,,,4/12/2015,12-Apr-15,n/a,,,,,,ENG,"Â While Anderson states Maine's coasts are in good condition, issues such as increasing water temperatures -- according to Anderson, the Gulf of Maine is warming faster than 95 percent of the planet -- ocean acidification and inadequate sewage disposal are areas of attention for the program.",https://www.proquest.com/docview/1672560197?accountid=12492&bdid=39766&_bd=1zBK5dXaZ%2FUCtAL5zb%2Fo9uj39RA%3D
Unraveling the Mysteries of Spot Shrimp,,,Targeted News Service,Wire Feeds,,,,3/26/2019,26-Mar-19,n/a,,,,,,ENG,,https://www.proquest.com/docview/2197931307?accountid=12492&bdid=39766&_bd=CnI4n%2B9%2F4dWMtogW3GYlw%2F6ECWY%3D
Survey: Oyster Industry More Sold on Ocean Acidification Impacts than Public,,,Targeted News Service,Wire Feeds,,,,8/26/2015,26-Aug-15,n/a,,,,,,ENG,,https://www.proquest.com/docview/1707489879?accountid=12492&bdid=39766&_bd=LhUAJjdmcc65I3l3Y8u3x1VMltg%3D
"UMaine Researchers Find Rising Ocean Temperatures, Acidification Worsen Immune Response, Physiology in Lobsters",,,Targeted News Service,Wire Feeds,,,,8/6/2020,6-Aug-20,,,,,,,ENG,,https://www.proquest.com/docview/2430631025?accountid=12492&bdid=39766&_bd=FZY0YHGkHgUxniw%2BuKt1rV%2FJI54%3D
"Reps. Young, Bonamici Call for Investment in Ocean, Coastal Recovery",,,Targeted News Service,Wire Feeds,,,,6/24/2020,24-Jun-20,,,,,,,ENG,,https://www.proquest.com/docview/2416278949?accountid=12492&bdid=39766&_bd=OuW%2BGK2PrDFDkEy5gPtbcB2hayo%3D
King seeks data on lobsters at conference,,"Overton, Penelope",Kennebec Journal,Newspapers,,,,6/6/2017,6-Jun-17,2.B,,,7452039,,,ENG,,https://www.proquest.com/docview/1906038253?accountid=12492&bdid=39766&_bd=8yon22gBIPRZGa3o52jyPs19MbU%3D
"University of California Davis: For Red Abalone, Resisting Ocean Acidification Starts With Mom",,,Targeted News Service,Wire Feeds,,,,10/6/2020,6-Oct-20,,,,,,,ENG,,https://www.proquest.com/docview/2448610218?accountid=12492&bdid=39766&_bd=uwWGRmCS5a8F4ehMRYNipNI%2BU2s%3D
OSU-based Oregon Sea Grant to Award Grants to Researchers in Oregon,,,Targeted News Service,Wire Feeds,,,,1/25/2018,25-Jan-18,n/a,,,,,,ENG,,https://www.proquest.com/docview/1991142592?accountid=12492&bdid=39766&_bd=OPbWkJDy0VEJCN4aY7ExxG0MtDo%3D
Ocean's acidity causes concern for shellfish,,"Bates, Todd B",Asbury Park Press,Newspapers,,,,3/5/2015,5-Mar-15,1,,,,,,ENG,"Â Increase funding for targeted research and monitoring programs that help protect the shellfish industry, such as the National Oceanic and Atmospheric Administration's Sea Grant program and the Federal Ocean Acidification Research and Monitoring program.",https://www.proquest.com/docview/1660629538?accountid=12492&bdid=39766&_bd=XVaUfpT0szx5Nm6w%2BUV6cJO%2BKfo%3D
Stony Brook University: Chris Gobler's LI Sound Research Receives Federal Funding,,,Targeted News Service,Wire Feeds,,,,2/23/2021,23-Feb-21,,,,,,,ENG,,https://www.proquest.com/docview/2492355084?accountid=12492&bdid=39766&_bd=QM2gcixGuVcDPXyUaiOAGRnFfzM%3D
Rep. Kilmer's Bipartisan Bill to Fight Ocean Acidification Passes House,,,Targeted News Service,Wire Feeds,,,,6/5/2019,5-Jun-19,n/a,,,,,,ENG,,https://www.proquest.com/docview/2236146069?accountid=12492&bdid=39766&_bd=2KoZ8335ylgBxHTLP9QFhoo93Ic%3D
Scientists investigate climate change impact on fisheries,,"Herzog, Jessica; Herzog, Jessica",University Wire,Wire Feeds,,,,10/11/2016,11-Oct-16,n/a,,,,,,ENG,"Â Pink and Chum Salmon production may increase if their spawning streams don't dry up with increased global temperatures, but Chinook and Coho Salmon populations may decline, Johnson said.",https://www.proquest.com/docview/1827752952?accountid=12492&bdid=39766&_bd=JCVZpdE4gpsoGpiM1zmOxzwXuFw%3D
"Acting Director of NOAA's National Ocean Service, Office of Ocean and Coastal Resource Management, Margaret Davidson speaks on Impacts of Environmental Changes on Treaty Rights, Traditional Lifestyles, and Tribal Homelands",,,Targeted News Service,Wire Feeds,,,,7/19/2012,19-Jul-12,n/a,,,,,,ENG,,https://www.proquest.com/docview/1029951261?accountid=12492&bdid=39766&_bd=%2FcnYPPlPNaiYRU2K%2BNqrZm4y%2FAY%3D
House Natural Resources Committee Issues Testimony From National Ocean Service Acting Administrator LeBoeuf,,,Targeted News Service,Wire Feeds,,,,6/22/2021,22-Jun-21,,,,,,,ENG,,https://www.proquest.com/docview/2563674332?accountid=12492&bdid=39766&_bd=nVxS4GAvQmmdQHi6Fuk8rcfbOn8%3D
House Passes Bonamici Provisions to Accelerate Ocean Research in Climate Crisis,,,Targeted News Service,Wire Feeds,,,,12/10/2019,10-Dec-19,,,,,,,ENG,,https://www.proquest.com/docview/2323507404?accountid=12492&bdid=39766&_bd=aSPtkdlwO4FSYJe0p4EnzTo8thw%3D
State largely ignores role as seas grow more acidic,,"Woodard, Colin",TCA Regional News,Wire Feeds,,,,11/19/2017,19-Nov-17,,,,,,,ENG,,https://www.proquest.com/docview/1965805624?accountid=12492&bdid=39766&_bd=AXgQD8BCA9qWJKj5xpyZ9m%2Bqb%2FE%3D
