"""sea grant"" AND ""acidification""",ocean acidification sea grant
Warming waters,"DEC and New York Sea Grant Announce Nearly $570,000 in New York Ocean Research Grants"
"Oregon State Alumna, Leader of California Marine Science Center to Lead Oregon Sea Grant",House Select Committee on Climate Crisis Issues Testimony From Under Secretary of Commerce Spinrad
King: Data key to protecting lobster fishery,First ocean acidification monitor launched
"Maine Sea Grant receives $800,000 in federal funding",$11 Million Funding Available for Ocean Acidification Research
Unraveling the Mysteries of Spot Shrimp,"OSU, Consortium Get NSF Grant to Continue Ocean Observatories Initiative"
Survey: Oyster Industry More Sold on Ocean Acidification Impacts than Public,"Oregon State Alumna, Leader of California Marine Science Center to Lead Oregon Sea Grant"
"UMaine Researchers Find Rising Ocean Temperatures, Acidification Worsen Immune Response, Physiology in Lobsters","Maine Sea Grant receives $800,000 in federal funding"
"Reps. Young, Bonamici Call for Investment in Ocean, Coastal Recovery",Unraveling the Mysteries of Spot Shrimp
King seeks data on lobsters at conference,"UMaine Researchers Find Rising Ocean Temperatures, Acidification Worsen Immune Response, Physiology in Lobsters"
"University of California Davis: For Red Abalone, Resisting Ocean Acidification Starts With Mom",Survey: Oyster Industry More Sold on Ocean Acidification Impacts than Public
OSU-based Oregon Sea Grant to Award Grants to Researchers in Oregon,Capps Introduces Bill to Combat Ocean Acidification
Ocean's acidity causes concern for shellfish,"University of California Davis: For Red Abalone, Resisting Ocean Acidification Starts With Mom"
Stony Brook University: Chris Gobler's LI Sound Research Receives Federal Funding,OSU-based Oregon Sea Grant to Award Grants to Researchers in Oregon
Rep. Kilmer's Bipartisan Bill to Fight Ocean Acidification Passes House,$10 Million Funding Available for Studying Impacts of Ocean Acidification on Oceanic Environments
Scientists investigate climate change impact on fisheries,Ocean's acidity causes concern for shellfish
"Acting Director of NOAA's National Ocean Service, Office of Ocean and Coastal Resource Management, Margaret Davidson speaks on Impacts of Environmental Changes on Treaty Rights, Traditional Lifestyles, and Tribal Homelands",Rep. Kilmer's Bipartisan Bill to Fight Ocean Acidification Passes House
House Natural Resources Committee Issues Testimony From National Ocean Service Acting Administrator LeBoeuf,Offshore wind project will benefit Maine's economy and the environment
House Passes Bonamici Provisions to Accelerate Ocean Research in Climate Crisis,UC-San Diego: NSF Grants $53 Million to Create a Global Fleet of Robotic Floats to Monitor Ocean Health
State largely ignores role as seas grow more acidic,House Natural Resources Committee Issues Testimony From National Ocean Service Acting Administrator LeBoeuf
Findings Portend Benefits in Restoration and Aquaculture,State largely ignores role as seas grow more acidic
Channel Islands National Marine Sanctuary Advisory Council Issues Public Comment on NOAA Notice,"Ahead of Earth Day, Reps. Carbajal and Fitzpatrick Introduce Bipartisan Bills to Protect U.S. Coastlines, Promote Ocean Health"
How scientists are using virtual reality to show people effects of global warming,"Coast Monitoring: $900,000 available for ocean research"
University of California-Davis: Climate Change Could Shrink Oyster Habitat in California,Size the Main Factor in Predicting How Calcifying Organisms Will Respond to Ocean Acidification
New Alaska Sea Grant-Funded Graduate Students Dive Into Research,"NOAA, Partners Provide Real-Time Ocean Acidification Data To Pacific Coast Shellfish Growers"
"Reps. Herrera Beutler, Kilmer, Bonamici, Young Introduce Bipartisan Bill to Fight Ocean Acidification",UMaine team to track diseased lobsters
Sen. King tells researchers that data is the key to protecting lobster industry,NSF Awards Grants to Scripps Scientists to Study Effects of Ocean Acidification
"Philippe Cousteau, Jr. To Lead EarthEcho Expedition in America's Pacific Northwest to Help Solve Ocean Acidification",Pacific takes a perilous turn
"Philippe Cousteau, Jr.'s EarthEcho International Profiles Youth Leaders in Action with EarthEcho Expedition: Shell Shocked",WHOI Scientists Receive $1 Million Grant from MacArthur Foundation
University of Hawaii: Hawaiian Corals Show Surprising Resilience to Warming Oceans,"Reps. Herrera Beutler, Kilmer, Bonamici, Young Introduce Bipartisan Bill to Fight Ocean Acidification"
King seeks data on lobsters at Portland conference,"Philippe Cousteau, Jr. To Lead EarthEcho Expedition in America's Pacific Northwest to Help Solve Ocean Acidification"
Earth Day Awards honor local efforts,UCSB Receives Grant to Study Ocean Acidification
Chair Huffman Introduces Bipartisan Bill to Reauthorize National Sea Grant College Program,"Philippe Cousteau, Jr.'s EarthEcho International Profiles Youth Leaders in Action with EarthEcho Expedition: Shell Shocked"
"At last week's United Nations Climate Change Conference in Germany,... [Derived headline]",Tiny snails offer insight to sea woes
House Natural Resources Subcommittee Issues Testimony From Alaska Ocean Observing System,UAF increases research into ocean acidification
"Murkowski's Appropriations Work Strengthens Alaska's Communities, Fisheries",Sen. Murkowski Introduces Bill to Address Ocean Acidification
Warming waters,Chair Huffman Introduces Bipartisan Bill to Reauthorize National Sea Grant College Program
"Join lobstermen, others concerned with environment at climate march",House Natural Resources Subcommittee Issues Testimony From Alaska Ocean Observing System
Salmon May Lose the Ability to Smell Danger as Carbon Emissions Rise,"Dire state of ocean's health met with tide of pledges at UN Ocean Conference, as Lisbon Declaration launches new chapter for ocean action"
House Select Committee on Climate Crisis Issues Testimony From University Florida Professor,Congressional Research Service: 'Federal Involvement in Ocean-Based Research & Development' (Part 2 of 2)
'Need a crystal ball to see what the future holds',"NSF grant helps oceans, GV students"
"WASHINGTON OYSTERS STRUGGLE AS WATER pH SHIFTS Legislature funds Department of Natural Resources plan to restore kelp, eelgrass in hopes to help shellfish farms","Hundreds of scientists gather in Portland to address The Gulf of Maine 2050 International Symposium is aimed at sharing the latest science on ocean acidification and rising sea levels and ocean temperatures, and how those changes will affect the region's economy, environment and people."
2018 Presidential Award Winners Named,Cal Poly Research Finds Abalone May Be Resilient During Ocean Acidification
Cal Poly Research Finds Abalone May Be Resilient During Ocean Acidification,"University of Hawaii: $2.7M for Ocean Floats, Satellites to Give University of Hawaii Scientists New Ocean, Climate Insights"
Lobsters in a Virginia lab can tell us about the threats of climate change,NOAA Sea Grant Awards $15.9 Million For Projects To Build Resilient Coastal Communities
NOAA Sea Grant Awards $15.9 Million For Projects To Build Resilient Coastal Communities,Around the County
Halibut prices through the roof as quota cuts reduce supply,Tough work if you can get it
Ocean's acidity causes concern for shellfish,Ocean's acidity causes concern for shellfish
"Despite high prices, halibut stays in demand",Salesforce.Com Inc to Participate In A Panel Discussion 'Taking Action for the Ocean' - Final
Climate change affects fish and reefs,Alaska Sea Grant Awards Over $1 Million for Research
$2 million awarded to funding lobster research in Maine,Scientists gather in Portland to discuss climate change in Gulf of Maine
"Sen. Murphy Secures Robust Funding to Support Long Island Sound Aquaculture Research, Connecticut Shellfish Industry & NOAA's Milford Lab",UC-San Diego: Ocean Acidification is Transforming California Mussel Shells
"Written Statement Of Kathryn Sullivan, Ph.D. Acting Under Secretary Of Commerce For Oceans And Atmosphere And Acting NOAA Administrator Before The Subcommittee On Fisheries, Wildlife, Oceans, And Insular Affairs Committee On Natural Resources",Farming Alaska’s seas
"Hey drivers, follow laws, keep us all safe","Fearing a threat to shellfish industry, Washington Legislature provides funds for kelp, eelgrass protection"
University of Maine Research Institutions Receive More Than $660k to Study the American Lobster,XL Catlin Announces Ocean Risk Grants for Early Career Scientists
Fish & Wildlife Service Review Marine Mammal Stock Assessment Report for Southern Sea Otter,United States: United States Announces $800 Million in International Commitments for Protecting Our Ocean
Alaskan seafood has opening in home meal replacement kits,New Report Shows Ocean Resources and Coastal Communities Are Vital to Overall U.S. Economy yet Climate Change Poses Major Threat
Walker orders mariculture task force,Tuna could replace cod by 2050 due to warmer Scottish seas
Ocean Conservancy Issues Statement on $700 Million Cut to NOAA Budget Proposed by House,Texas A&M-Corpus Christi Life Sciences Professor Earns Prestigious NSF Grant to Study Oysters
An ocean of research Hatfield Marine Science Center celebrates 50 years in Newport,University of Washington Awarded $23.5M to Build Floating Robots As Part of NSF Project to Monitor the World's Oceans
House Natural Resources Subcommittee Issues Testimony From NOAA Administrator Spinrad,Oceanography grad students reap rewards of $1.5M gift
REP. JOHN CULBERSON,Congressional Research Service: 'Approaches for Sustainable Management of U.S. Ocean Waters & Ocean Economy - Considerations for Congress'
New oceanography major now open to undergraduates,Rep. Kilmer Joins Bipartisan Call for $10B Investment in Coastal Restoration Jobs
New Federal Money For Hawai'i Ocean Management,"Economy top concern at forum: Fishermen's event to tackle rules, ocean energy"
Bristol Bay Students Learn Lessons in State Politics in Juneau,United States: United States Announces Commitments at Seventh Our Ocean Conference
URI to Host Lecture Series on 'State of Our Oceans' Beginning Feb. 8,"Reps. Carbajal and Fitzpatrick Reintroduce Bipartisan Bills to Protect U.S. Coastlines, Promote Ocean Health"
REP. RALPH M. HALL HOLDS A HEARING ON THE NOAA AND EPA BUDGETS,"Rep. Panetta Announces NOAA Federal Grant for the University of California, Santa Cruz"
Annual best and worst of the past year in state fisheries,Texas A&M University: Sediment Cores From Ocean Floor Could Contain 23M Year Old Climate Change Clues
Cooperative Agreements Make $2 Million Available for American Lobster Research,State's coastal economy worth preserving
The world in your hands,House Science Subcommittee Issues Testimony From Ocean Conservancy
Foreign fishermen to 'talk shop' at forum,Greality: Greeley native earns funding to study ocean; distillery earns award; Assistance League accepting donations
Trump's budget cuts may cripple programs,Holistic restoration
Summer Interns Focus on Seafood Science in Kodiak,"Utrecht University, Royal Netherlands Institute for Sea Research Join Forces in Eleven More Joint Research Projects on Coastal Seas, Oceans"
"Reps. Pingree, Wittman Reintroduce Bipartisan Bill to Preserve Working Waterfronts",EDUCATION DIGEST
Alaska Mariculture Task Force Issues Final Report Report to Gov. Dunleavy,Congressional Research Service: 'Ocean Acidification - Frequently Asked Questions'
"Reps. Wittman, Pingree Reintroduce Bipartisan Bill to Preserve Working Waterfronts",XL Catlin announces Ocean Risk Grants for Early Career Scientists
"Cooperative Agreement Makes $36.8 Million Available for Cooperative Institute to Support NOAA Marine Research, Ecosystem Management","Are Rising Seas, Coastal Erosion & Powerful Storms a Wave of the Future for Small Island Nations?"
"King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities","Reps. Bonamici, Young Call for Investment in Ocean, Coastal Recovery"
Issuance of an Incidental Harassment Authorization Notice Posted in Federal Register,Keeping tabs on our blue backyard
Murkowski Supports a Safer and More Prosperous Alaska,OSU Scientists to Study Effects of Acidification on Shellfish
"House Appropriations Issues Report on Commerce, Justice, Science Appropriations Bill - Title I - Office of Oceanic & Atmospheric Research (Part 4 of 12)",SEN. MARK BEGICH HOLDS A HEARING ON INNOVATIVE PARTNERSHIPS IN OCEAN OBSERVATION
NOAA Fisheries Alaska Issues Report Entitled 'Aquaculture Accomplishments',Nicholls Chemistry Student Receives Grant for Research That Led to Publication and a Bombshell Discovery
House Natural Resources Committee Issues Report on Keep America's Waterfronts Working Act,Iran: Changes in Ocean Due to Climate Change
"As Earth Day Approaches, Celebrate Texas A&M's Commitment to Sustainability",Rep. Young's Legislation to Remove Ocean Debris and Promote Healthy Waters Passes the House
House Space Subcommittee Issues Testimony From Mote Marine Laboratory President Crosby,Keeping tabs on our blue backyard
REP. JOHN CULBERSON,"Maine Sea Grant, University of Maine Advance $2M Initiative Aimed at Increasing Resilience in the Lobster Fishery"
"Island Institute Awarded $240,000 Grant from the National Academies to Support Disaster Preparedness in Maine's Island and Coastal Communities",United States: Our Ocean 2016 Commitments
"King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities",United States: Opening the Next Steps Panel of Our Ocean Conference
Maine environmental advocates warn of 'crippling' cuts in Trump budget,Congressional Research Service: 'Federal Involvement in Ocean-Based Research & Development' (Part 1 of 2)
NOAA: Ensuring A Future For Seafood In A Changing Ocean - Part 2,Rep. Pingree's Bipartisan Legislation to Protect America's Working Waterfronts Passes House
Appropriations Committee Passes Funding For Tsunami Warning System,Congressional Research Service: 'Federal Involvement in Ocean-Based Research & Development' (Part 1 of 2)
Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveys Along the Oregon and California Coasts Notice Posted in Federal Register,"Tasty and Pink, Sea Urchin Species May Be a Climate-Tolerant Food Source"
The Aua Transect,Warming waters
NOAA Administrator Jane Lubchenco stepping down in February (Posted 2012-12-12 17:15:58),"Reps. Young, Bonamici Call for Investment in Ocean, Coastal Recovery"
"Down East Maine producer of Kelp Krunch, Dulse seaweed products plans $1.5M expansion",Amsler’s dive into Antarctic Ocean airs Thursday on NatGeo Wild
"THE `CANARIES' UNDER THE SOUND ; MICROSCOPIC SHELLS SHED BY SINGLE-CELLED CREATURES LIE DEEP WITHIN THE ESTUARY'S SEDIMENT, AND RESEARCHERS BELIEVE THEY HAVE A LOT TO TELL US ABOUT CLIMATE CHANGE.",Five Teams Advance to Hawaii for Final Stage of $2 Million Wendy Schmidt Ocean Health XPRIZE
Kodiak Summer Interns Benefit Seafood Industry,Landmark deep-sea mission to boost ocean action
UNCA alum among graduation speakers,Stony Brook University: Chris Gobler's LI Sound Research Receives Federal Funding
NOAA Administrator Jane Lubchenco stepping down in February (Posted 2012-12-13 19:27:24),This is the most sobering report card yet on climate change and Earth's future. Here’s what you need to know
"Candidates to debate, oil, gas and mining issues at ComFish",Ocean wind progress a welcome development
Marine Science Symposium Offers Teaching Ideas,"Acting Director of NOAA's National Ocean Service, Office of Ocean and Coastal Resource Management, Margaret Davidson speaks on Impacts of Environmental Changes on Treaty Rights, Traditional Lifestyles, and Tribal Homelands"
"Gear, Not Geoducks, Impacts Ecosystem If Farming Increases",House Passes Bonamici Provisions to Accelerate Ocean Research in Climate Crisis
Foreign fishermen to 'talk shop' at forum,OSU wins grant to build ocean research vessels
Economist: Many factors involved in retail salmon prices,White House floats expansion of Pacific Ocean sanctuary
Walker orders mariculture task force,State Department Fact Sheet: 'U.S. Announces Commitments at 7th Our Ocean Conference'
We can help slow changes to climate,Connecticut’s coastal economy is worth preserving
House Appropriations Subcommittee Issues Joint Testimony From NOAA,Changes in Ocean Due to Climate Change
"Committee Approves FY2020 Commerce, Justice, Science Appropriations Bill",Congressional Research Service: 'Federal Involvement in Ocean-Based Research & Development' (Part 1 of 2)
Lecture series focuses on ocean concerns,Princeton University: When Will We Observe Significant Changes in Ocean Due to Climate Change? New Study Offers Road Map
"CSU's COAST, Others to Convene at Global PRIMO Sessions to Address Toxins in Aquatic Life, May 15-18 in Long Beach",Researchers Recover Recorder from Antarctic Waters Containing Critical Baseline on Acidification
"Economy top concern at forum Fishermen's event to tackle rules, ocean energy","Reps. Fitzpatrick, Carbajal Reintroduce Bipartisan Bills to Protect U.S. Coastlines, Promote Ocean Health"
"Where Trump would cut, Congress would restore",Ocean Institute readies for remodel
EVENTS,State Dept. Fact Sheet: U.S. Announces $800 Million in International Commitments for Protecting Our Ocean
Children’s Museum of the Brazos Valley – “Under the Sea” Oceanography Camp - Maroon Weekly,University of California-Davis: Climate Change Could Shrink Oyster Habitat in California
"Keynote Address by the NOAA Administrator at the International Coral Reef Symposium 2010, Cairns, Australia",Keeping tabs on our blue backyard
'State of the Coast' Conference Set for Oct. 27 in Coos Bay,New Alaska Sea Grant-Funded Graduate Students Dive Into Research
H APPROPS HEARING ON THE DEPARTMENT OF COMMERCE F.Y. 2018 BUDGET,"Maine islands at risk as ocean levels rise Change means challenges for each of these coastal micro-economies, where resilient communities are already planning for the 'what-ifs.'"
Earth Day Awards honor local efforts,VEGGIES OF THE SEA
"HOUSE APPROPRIATIONS COMMITTEE, COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON F.Y. 2019 NOAA BUDGET",Obama Creates Atlantic Ocean's First Marine Monument
Alaska may profit from popularity of home-meal kits,FACT SHEET: Leading at Home and Internationally to Protect Our Ocean and Coasts
Trump's budget cuts may cripple programs,International Research Team to Study Effects of Ocean Acidification on Iron Availability to Phytoplankton in North Pacific
sea star wasting syndrome,UW gets $126 million grant -- largest ever -- for ocean observatory
Picks and pans feature best and worst in 2017 fish news,UC-San Diego: Fresh Sea Spray Turns 'Sour' After Being Airborne
VEGGIES OF THE SEA,Hundreds of scientists gather in Portland to address climate change in the Gulf of Maine
Takes of Marine Mammals Incidental to Specified Activities Notice Posted in Federal Register,State action on gulf acidification sluggish
Sen. Blumenthal Demands Measures to Ensure Connecticut Fisherman Get a Fair Shake,"Team DuraFET Awarded $250,000 in Wendy Schmidt Ocean Health XPRIZE"
"HOUSE APPROPRIATIONS COMMITTEE, COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON F.Y. 2019 NOAA BUDGET",University of Hawaii: Hawaiian Corals Show Surprising Resilience to Warming Oceans
Senate panel considers Robinson nomination to NOAA,Keeping tabs on our blue backyard
House Science Subcommittee Issues Testimony From NOAA Director Thur,"United States: Our Ocean Town Hall Event in Valparaiso, Chile"
Maryland Commission on Climate Change Issues Report Entitled 'Recommendations for Reducing Greenhouse Gas Emissions and Preparing for and Adapting to the Impacts of Climate Change' (Part 1 of 3),Federal ocean-study lab in Sandy Hook could be closed
OSU Names Lubchenco Adviser for Marine Sciences,Action sluggish on acidification
Univ. of Miami Student Bignami Among 5 Guy Harvey Scholarship Recipients,Montana Team Takes Home Both Top Prizes in $2 Million Wendy Schmidt Ocean Health XPRIZE
Congress set to reject Trump's wide range of federal program cuts,"United States: Our Ocean Town Hall Event in Valparaiso, Chile"
Mike Spranger: It's an ocean world,14 Teams Advance to Seattle Aquarium in Pursuit of $2 Million Wendy Schmidt Ocean Health XPRIZE
"Candidates to debate, oil, gas and mining issues at ComFish","At last week's United Nations Climate Change Conference in Germany,... [Derived headline]"
"Good for business and nature, kelp grows on Maine fishermen",NOAA Awards More Than $1.3 Million to Predict Coastal Acidification Impacts to Commercial Species and Vulnerable Habitats
Coast Guard begins Arctic research cruise,"Murkowski's Appropriations Work Strengthens Alaska's Communities, Fisheries"
Senate Science Subcommittee Issues Testimony From Lake Superior National Estuarine Research Reserve,Warming waters
House Transportation & Infrastructure Subcommittee Issues Testimony From NOAA,Pumping iron into ocean gets chilly reception: A global-warming solution or just more ocean pollution? A ship docked in Fort Lauderdale is at the center of a scientific and environmental controversy
USM Hosting Panel on Federal Budget Cuts and Maine Fisheries,LETTERS TO THE EDITOR
"Good for business and nature, kelp grows on Maine fishermen",'Need a crystal ball to see what the future holds'
"Mainers have a strong voice - tell Collins why we need science funding Amid a budget battle, an oceanographer seeks help advocating for NOAA, the National Science Foundation and the U.S. Geological Survey.","Written Statement of Kathryn Sullivan, Ph.D. Acting Under Secretary of Commerce for Oceans and Atmosphere and Acting NOAA Administrator on the National Oceanic and Atmospheric Administration's FY 2014 Budget Request"
"Written Statement of Kathryn Sullivan, Ph.D. Acting Under Secretary of Commerce for Oceans and Atmosphere and Acting NOAA Administrator on the National Oceanic and Atmospheric Administration's FY 2014 Budget Request",Scientists look to protect Gulf of Maine
Weather records back Cicilline climate claim,"WASHINGTON OYSTERS STRUGGLE AS WATER pH SHIFTS Legislature funds Department of Natural Resources plan to restore kelp, eelgrass in hopes to help shellfish farms"
Winlock High School Team Competes at Annual Orca Bowl,"SECRETARY OF STATE JOHN KERRY REMARKS AT OUR OCEAN TOWN HALL EVENT IN VALPARAISO, CHILE, AS RELEASED BY THE STATE DEPARTMENT"
H APPROPS HEARING ON THE DEPARTMENT OF COMMERCE F.Y. 2018 BUDGET,United States: Announcements by the United States at Our Ocean 2016
"REP. FRANK R. WOLF, R-VA., HOLDS A HEARING ON NOAA BUDGET",Senate Commerce Committee Issues Report on Coordinated Ocean Observations & Research Act (Part 2 of 2)
Shellfish show promise,Interior awards grants for coral reef initiatives
Acidifying Oceans Could Spell Trouble for Squid,UConn Research: More Carbon in the Ocean Can Lead to Smaller Fish
Maine Conservationists Endorse Tom Allen for Senate,United States: Closing the Next Steps Panel of Our Ocean Conference
"House Appropriations Committee Issues Report on Commerce, Justice, Science, Related Agencies Appropriations Bill 2019 (Part 6 of 6)",Group issues call to action to protect coast
"Strong fishing highlights year in review, picks and pans",University of Hawaii Manoa: $9M Grant Aims to Restore Waikiki Reefs With Coral Nurseries
Scientists struggle to save seagrass from pollution,OSU Inks Largest Research Grant in Its History to Begin Ship Construction
Rep. Pingree's Bill to Preserve Working Waterfronts Gets First Hearing in 116th Congress,Visitors signal a sea change
"Reps. Bonamici, Young Lead Bipartisan Call for $10B Coastal Community Investment in Build Back Better Plan",Federal research funding in doubt
Rep. Pingree Calls American Jobs Plan Once-in-a-Generation Opportunity to Modernize Nation's Infrastructure,NSF Awards $13 Million in Third Set of Coastal Sustainability Grants
