"Factiva- ""sea grant"" AND ""acidification""","ProQuest- ""sea grant"" AND ""acidification"""
"House (Select) Climate Crisis Committee Hearing; ""Turning the Tide for Ocean Climate Action: Unleashing the Climate Benefits of Our...Ri... and NOAA Administrator, National Oceanic and Atmospheric...",State largely ignores role as seas grow more acidic
National Marine Fisheries Service - The Northeast Aquaculture Conference and Expo: Well Worth the Wait,$2 Million Available in Grants/Cooperative Agreements for Addressing Impacts of Multiple Stressors on Shellfish Aquaculture
Microbiology - Environmental Microbiology; New Environmental Microbiology Study Findings Have Been Reported by Investigators at  Johns Hop... and Persistent Sulfur-oxidizing Microbial Populations Are Responsive To Hypoxia In the Chesapeake...,University of Washington: Ocean Acidification Impacts Oysters' Memory of Environmental Stress
Limnology; Report Summarizes Limnology Study Findings from University of Maryland (Five State Factors Control Progressive Stages of...,Ocean Acidification Discussion on Tap at Corvallis Science Pub
Science; Data on Science Detailed by Researchers at University of Vermont (Loss of Transcriptional Plasticity but Sustained Adaptive Capacit...,"House Appropriations Committee Issues Report on Commerce, Justice, Science Appropriations Bill (Part 2 of 8)"
"WASHINGTON OYSTERS STRUGGLE AS WATER pH SHIFTS Legislature funds Department of Natural Resources plan to restore kelp, eelgrass in hopes to...",Texas A&M University: Sediment Cores From Ocean Floor Could Contain 23M Year Old Climate Change Clues
"House (Select) Climate Crisis Committee Hearing; ""America's Natural Solutions: The Climate Benefits of Investing in Healthy Ecosystems... Sea Grant College Program; Professor, Food and Resource Economics, University...",Maine finally addressing climate change in the gulf
Science; Research in the Area of Science Reported from  Ohio State University (Physiological acclimatization in Hawaiian corals followi... and pH),"Senate Appropriations Committee Issues Report on 2020 Commerce, Justice, Science Appropriations Bill (Part 3 of 10)"
University of Hawai?i at Manoa - Hawaiian corals show surprising resilience to warming oceans,Greality: Greeley native earns funding to study ocean; distillery earns award; Assistance League accepting donations
Microbiology; New Microbiology Study Findings Have Been Reported by Investigators at  University of Southern California (USC) (             ... and Global Change),Maine finally addressing climate change in the gulf
"House Science, Space, and Technology Subcommittee on Environment Hearing; ""From Gray to Green: Advancing the Science of Nature-Based Infrastructure.""; Testimony by Steve... and Atmospheric...",Sen. Murkowski Introduces Bill to Address Ocean Acidification
Limnology; New Data from California State University Illuminate Findings in Limnology (Limited Biogeochemical Modification of Surfacee Water... and Site-specific Hydrodynamics),"Commerce Issues Annual Report Entitled 'Technology Transfer: Approach and Plans, FY 2020 Activities and Achievements' (Part 3)"
Picks and pans for 2021 in Alaska’s seafood industry,Alaska Sea Grant: New Video Focuses on Alaska's Acidifying Oceans
Science - Marine Science;  Adelphi University Researchers Illuminate Research in Marine Science (Ecosystem Metabolism Modulates thee Dyn... and  Acidification Across Temperate Coastal Habitat Types),Maine finally addressing climate change in the gulf
"University of Connecticut : UConn Researchers to Explore Marine Life, Human-Sea Interaction; The projects touch o...",NOAA Sea Grant Liaisons Address Critical Research Areas Across Federal Agencies
"MIL-OSI USA: UConn Researchers to Explore Marine Life, Human-Sea Interaction",USING VR TO SHOW CLIMATE REALITY
ODFW SEEKS OCEAN FISHING REPRESENTATIVE ON OCEAN ACIDIFICATION  AND HYPOXIA COUNCIL,"Reps. Bonamici, Young Call for Investment in Ocean, Coastal Recovery"
University of California - Santa Cruz; Seagrass restoration study shows rapid recovery of ecosystem functions,"Former Interior Secretary Sally Jewell Brings Leadership to UW Community, New EarthLab Initiative"
Biology - Marine Biology; Study Data from  State University of New York  ( SUNY) Stony Brook Update Knowledge of Marine Biology (...... and Spatial Dynamics of Hypoxia and  Acidification In Eutrophic ...),Deeper EPA cuts pose a particular menace to Maine
Limnology; Recent Studies from Northeastern University Add New Data to Limnology (Ocean Acidification Alters the Diversity and Structure of Oyster Associated Microbial Communities),Nicholls Chemistry Student Receives Grant for Research That Led to Publication and a Bombshell Discovery
"Climate Change; Investigators from  University of Connecticut Release New Data on Climate Change (Rapid, but Limited, Zooplanktonn Adaptat... and  Acidification )",Nutrient Pollution Makes Ocean Acidification Worse for Coral Reefs
Ecology Research - Marine Ecology; Reports Summarize Marine Ecology Findings from Old Dominion University (Impact of Ocean Carbonation On ...,"Maine Sea Grant, University of Maine Advance $2M Initiative Aimed at Increasing Resilience in the Lobster Fishery"
"MIL-OSI USA: Bonamici, Young Lead Bipartisan Call for $10B Coastal Community Investment in Build Back Better Plan",Ocean's acidity causes concern for shellfish
"Bonamici, Young Lead Bipartisan Call for $10B Coastal Community Investment in Build Back Better Plan; Rep. Suzanne Bonamici (D-OR) News Release",SEN. MARIA CANTWELL HOLDS A HEARING ON THE F.Y. 2008 BUDGET FOR THE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION
California Ocean Protection Council - Announcing OPC’s new Climate Resilience Miniseries!,"DEC and New York Sea Grant Announce Nearly $570,000 in New York Ocean Research Grants"
Ocean Research; Study Results from Virginia Institute of Marine Science Update Understanding of Ocean Research (Mechanisms Driving Decadal...,Rep. Pingree's Bipartisan Legislation to Protect America's Working Waterfronts Passes House
Science; Findings from University of Connecticut in Science Reported (Projecting Ocean Acidification Impacts for the Gulf of Maine To 2050: New Tools and Expectations),House Select Committee on Climate Crisis Issues Testimony From Under Secretary of Commerce Spinrad
"House Natural Resources Subcommittee on Water, Oceans and Wildlife Hearing; ""Examining the President's FY2022 Budget Proposal for...Reclamation , U.S. Geological Survey , U.S. Fish and Wildlife Service, and National Oceanic and Atmospheric Administration.; Testimony...",Marine Biological Laboratory: Can Growing Seaweed Protect Shellfish Farms As Climate Warms? The Roberson Lab Is Finding Out
"House Transportation and Infrastructure Subcommittee on Water Resources and Environment Hearing; ""President Biden's FY2022 Budget Request: Agency Policies and Perspectives (Part II).""; Testimony by Nicole LaBoeuf, ACTING ASSISTANT ADMINISTRATOR, NATIONAL OCEAN...",VIMS scientists track climate toll on lobster
Ecology Research; New Ecology Research Findings from University of California Davis Described (Seagrass-driven Changes In Carbonate Chemistry Enhance Oyster Shell Growth),"State sets aside years of skepticism to confront Gulf of Maine warming ""Climate change was a dirty term politically in Maine, and people didn't think it was real or didn't want to react to it."""
"House Natural Resources Committee Hearing; H.R.660, the ""Shovel-Ready Restoration Grants for Coastlines and Fisheries Act of 2021...Chesapeake Bay Oyster Research Act""; H.R.3892, the ""National Oceans and Coastal Security Improvements Act""; and H.R.3906, the ""Blue...","Tasty and Pink, Sea Urchin Species May Be a Climate-Tolerant Food Source"
"House Science, Space, and Technology Subcommittee on Environment Hearing; ""Defining a National 'Oceanshot': Accelerating Ocean and Great Lakes Science and Technology.""; Testimony by Michael Crosby, President & CEO, Mote Marine Laboratory",Warming waters
Ecology Research - Marine Ecology; Investigators from  State University of New York  ( SUNY) Stony Brook Report New Data on Marinee Ecology ... Acidification for the Laminarialean Kelp Saccharina Latissima: Enhanced Growth and Reduced Herbivory...,"Oregon State Alumna, Leader of California Marine Science Center to Lead Oregon Sea Grant"
"Applications for aquatic farming in Alaska drop due to pandemic, and kelp is favored over shellfish",King: Data key to protecting lobster fishery
National Marine Fisheries Service - A Sustainable Seafood Sampler from Coast to Coast,"Maine Sea Grant receives $800,000 in federal funding"
"RELEASE: Wittman, Pingree Reintroduce Bipartisan Bill to Preserve Working Waterfronts; Rep. Robert J. Wittman (R-VA) News Release",Unraveling the Mysteries of Spot Shrimp
"California Ocean Protection Council - Ocean Protection Council Meeting — June 15, 2021 — Teleconference",Survey: Oyster Industry More Sold on Ocean Acidification Impacts than Public
Global Environmental Change; New Global Environmental Change Study Findings Reported from University of California Davis (Coast-wide Evid...,"UMaine Researchers Find Rising Ocean Temperatures, Acidification Worsen Immune Response, Physiology in Lobsters"
Physics - Geophysics; Research Conducted at University of North Carolina Chapel Hill Has Provided New Information about Geophysicss (Juvenil... Acidification Than Their Mud Crab Predators),"Reps. Young, Bonamici Call for Investment in Ocean, Coastal Recovery"
"House Appropriations Subcommittee on Commerce, Justice, Science, and Related Agencies Hearing; ""Increasing Risks of Climate Change and NOAA's Role in Providing Climate Services.""; Testimony by Nicole LeBoeuf, Acting Assistant Administrator, National Ocean Service...",King seeks data on lobsters at conference
Kilmer Joins Bipartisan Call for $10B Investment in Coastal Restoration Jobs; Rep. Derek Kilmer (D-WA) News Release,"University of California Davis: For Red Abalone, Resisting Ocean Acidification Starts With Mom"
"MIL-OSI USA: Bonamici, Posey Lead Bipartisan Call for $10B Investment in Coastal Restoration Jobs",OSU-based Oregon Sea Grant to Award Grants to Researchers in Oregon
"Bonamici, Posey Lead Bipartisan Call for $10B Investment in Coastal Restoration Jobs; Rep. Suzanne Bonamici (D-OR) News Release",Ocean's acidity causes concern for shellfish
Ecology Research - Marine Ecology; New Findings from  University of Delaware Describe Advances in Marine Ecology (Oyster Calcifyingg Flui... and Dynamic Autochthonous Bacterial Populations That May Aid In Shell Formation),Stony Brook University: Chris Gobler's LI Sound Research Receives Federal Funding
Life Science Research - Biological Invasions; Reports from  State University of New York  ( SUNY) Stony Brook Highlight Recent Findingss in... Acidification  and Nitrogen Loading Facilitate Invasions of the Non-indigenous Red...,Rep. Kilmer's Bipartisan Bill to Fight Ocean Acidification Passes House
Federal Grant: American Lobster Research Program,Scientists investigate climate change impact on fisheries
Study suggests baby lobsters may be adaptable to changes in Gulf of Maine Researchers examined how genes in post-larval crustaceanss react t... and  acidification .,"Acting Director of NOAA's National Ocean Service, Office of Ocean and Coastal Resource Management, Margaret Davidson speaks on Impacts of Environmental Changes on Treaty Rights, Traditional Lifestyles, and Tribal Homelands"
Lobster babies can teach lessons on climate change,House Natural Resources Committee Issues Testimony From National Ocean Service Acting Administrator LeBoeuf
Federal Grant: Proposed Cooperative Institute to support NOAA Marine Research and Ecosystem Management,House Passes Bonamici Provisions to Accelerate Ocean Research in Climate Crisis
Biology; Study Findings from University of Oregon Provide New Insights into Biology (Ghost Factors of Laboratory Carbonate Chemis...,State largely ignores role as seas grow more acidic
Science; New Science Findings from University of California Davis Reported (Evolved Differences In Energy Metabolism and Growth Dictate the Impacts of Ocean Acidification On Abalone Aquaculture),Findings Portend Benefits in Restoration and Aquaculture
Restoring seagrasses can bring coastal bays back to life,Channel Islands National Marine Sanctuary Advisory Council Issues Public Comment on NOAA Notice
$2 million awarded to funding lobster research in Maine,How scientists are using virtual reality to show people effects of global warming
"MIL-OSI USA: Young, Bonamici Call for Investment in Ocean, Coastal Recovery",University of California-Davis: Climate Change Could Shrink Oyster Habitat in California
"MIL-OSI USA: Bonamici, Young Call for Investment in Ocean, Coastal Recovery",New Alaska Sea Grant-Funded Graduate Students Dive Into Research
"Young, Bonamici Call for Investment in Ocean, Coastal Recovery; Rep. Don Young (R-AK) News Release","Reps. Herrera Beutler, Kilmer, Bonamici, Young Introduce Bipartisan Bill to Fight Ocean Acidification"
"Bonamici, Young Call for Investment in Ocean, Coastal Recovery; Joined by 64 bipartisan members; Rep. Suzanne Bonamici (D-OR) News Release",Sen. King tells researchers that data is the key to protecting lobster industry
ASSISTANT PROFESSOR CASSIE GURBISZ NEW RESEARCH ARTICLE PUBLISHED IN NATURE GEOSCIENCE,"Philippe Cousteau, Jr. To Lead EarthEcho Expedition in America's Pacific Northwest to Help Solve Ocean Acidification"
Chemistry - Earth and Space Chemistry; University of California San Diego ( UCSD) Details Findings in Earth and Space Chemistry (Autonomous Ion-sensitive Field Effect Transistor-based Total Alkalinity and Ph Measurements On a Barrier Reef of Kane'ohe Bay),"Philippe Cousteau, Jr.'s EarthEcho International Profiles Youth Leaders in Action with EarthEcho Expedition: Shell Shocked"
Ecology Research - Marine Ecology; Report Summarizes Marine Ecology Study Findings from  Georgia Southern University (Recruits off the Temp... Acidification ),University of Hawaii: Hawaiian Corals Show Surprising Resilience to Warming Oceans
Ecology Research - Marine Ecology; New Findings from  State University of New York  ( SUNY) Stony Brook in the Area of Marine Ecologyy Re... Acidification  and Food Limitation Combine To Suppress Herbivory By the Gastropod Lacuna Vincta),King seeks data on lobsters at Portland conference
Chemistry - Marine Chemistry; Investigators at  Texas A&M University Describe Findings in Marine Chemistry (Assessment of the Sta... and Exchangeability of Marine Dissolved and Colloidal Metals),Earth Day Awards honor local efforts
Gram-Negative Bacteria - Vibrionaceae;  State University of New York  ( SUNY) Stony Brook Reports Findings in Vibrionaceae (Experimentall Acidification Increases Susceptibility of Mercenaria Mercenaria To Infection By Vibrio Species),Chair Huffman Introduces Bipartisan Bill to Reauthorize National Sea Grant College Program
Biology - Marine Biology; Findings from Hong Kong University of Science and Technology in Marine Biology Reported (Vertical Distribution of Echinoid Larvae In Ph Stratified Water Columns),"At last week's United Nations Climate Change Conference in Germany,... [Derived headline]"
Biology - Experimental Biology; Recent Findings from N.F. Putman and Co-Researchers Yields New Information on Experimental Biology (A sense of place: pink salmon use a magnetic map for orientation),House Natural Resources Subcommittee Issues Testimony From Alaska Ocean Observing System
Life Science Research; Research in the Area of Life Science Research Reported from  State University of New York  -  Stony Brook University ... Acidification  and Hypoxia on Early-Life Stage Estuarine Fishes),"Murkowski's Appropriations Work Strengthens Alaska's Communities, Fisheries"
Marine Mammal Protection Act; Stock Assessment Report for the Southern Sea Otter in California,Warming waters
Science; New Science Study Findings Recently Were Published by Researchers at  University of Hawaii at Manoa (High heritability off coral c... and evolutionary potential under ocean acidification ),"Join lobstermen, others concerned with environment at climate march"
Ocean Research; New Ocean Research Findings from Woods Hole Oceanographic Institute Discussed (Quantifying the Effects of Nutrient... and Freshwater Mixing On Coastal Ocean Acidification ),Salmon May Lose the Ability to Smell Danger as Carbon Emissions Rise
Picks and pans for Alaska’s seafood industry in 2019,House Select Committee on Climate Crisis Issues Testimony From University Florida Professor
Scientists struggle to save seagrass from coastal pollution,'Need a crystal ball to see what the future holds'
Scientists Struggle to Save Seagrass from Coastal Pollution,"WASHINGTON OYSTERS STRUGGLE AS WATER pH SHIFTS Legislature funds Department of Natural Resources plan to restore kelp, eelgrass in hopes to help shellfish farms"
MIL-OSI USA: House Passes Bonamici Provisions to Accelerate Ocean Research in Climate Crisis,2018 Presidential Award Winners Named
Pingree's Bipartisan Legislation to Protect America's Working Waterfronts Passes House; Rep. Chellie Pingree (D-ME) News Release,Cal Poly Research Finds Abalone May Be Resilient During Ocean Acidification
House Passes Bonamici Provisions to Accelerate Ocean Research in Climate Crisis; Rep. Suzanne Bonamici (D-OR) News Release,Lobsters in a Virginia lab can tell us about the threats of climate change
Climate Change; New Climate Change Data Have Been Reported by Researchers at Texas A&M University (Heterotrophy of Oceanic Particulate Org...,NOAA Sea Grant Awards $15.9 Million For Projects To Build Resilient Coastal Communities
Ecology Research - Marine Ecology; New Marine Ecology Findings from Northwest Fisheries Science Center Discussed (A Multi-model Approach To...,Halibut prices through the roof as quota cuts reduce supply
Ecology Research - Marine Ecology; New Marine Ecology Study Findings Have Been Reported by Investigators at Woods Hole Oceanographic...,Ocean's acidity causes concern for shellfish
Ecology Research - Marine Ecology; Studies from  Oregon State University Have Provided New Data on Marine Ecology [Comparison of Larval Dev... and Naturalized Stocks of the Pacific Oyster Crassostrea Gigas Exposed To High Pco(2) Conditions...,"Despite high prices, halibut stays in demand"
"MIL-OSI USA: Committee Approves FY2020 Commerce, Justice, Science Appropriations Bill",Climate change affects fish and reefs
"Committee Approves FY2020 Commerce, Justice, Science Appropriations Bill; Supports Vital Research and Safety Initiatives, Prioritizes Alaska's Fisheries and Marine Resources; Sen. Murkowski, Lisa - (R - AK) News Release",$2 million awarded to funding lobster research in Maine
"COMMITTEE APPROVES FY2020 COMMERCE, JUSTICE, SCIENCE APPROPRIATIONS BILL","Sen. Murphy Secures Robust Funding to Support Long Island Sound Aquaculture Research, Connecticut Shellfish Industry & NOAA's Milford Lab"
Oceanography; Researchers from Oregon State University Describe Findings in Oceanography (The Dynamics and Impact of Ocean Acidification  and Hypoxia Insights From Sustained Investigations In the Northern California Current Large Marine Ecosystem),"Written Statement Of Kathryn Sullivan, Ph.D. Acting Under Secretary Of Commerce For Oceans And Atmosphere And Acting NOAA Administrator Before The Subcommittee On Fisheries, Wildlife, Oceans, And Insular Affairs Committee On Natural Resources"
"State sets aside years of skepticism to confront Gulf of Maine warming ""Climate change was a dirty term politically in Maine, and people didn't think it was real or didn't want to react to it.""","Hey drivers, follow laws, keep us all safe"
Limnology; Researchers from Bodega Marine Laboratory Detail Findings in Limnology (Effects of Seasonal Upwelling and Runoff On Waterr Chemistry and Growth and Survival of Native and Commercial Oysters),University of Maine Research Institutions Receive More Than $660k to Study the American Lobster
University of California - Davis; Climate change could shrink oyster habitat in California,Fish & Wildlife Service Review Marine Mammal Stock Assessment Report for Southern Sea Otter
MIL-OSI USA: Rep. Pingree’s Bill to Preserve Working Waterfronts Gets First Hearing in 116th Congress,Alaskan seafood has opening in home meal replacement kits
"House Natural Resources Subcommittee on Water, Oceans and Wildlife Hearing; H.R.335, the ""South Florida Clean Coastal Waters Act ...Preparedness Act""; H.R.3596, the ""Keep America's Waterfronts Working Act""; and H.R.3723, the ""Desalination Development Act.""; Testimony...",Walker orders mariculture task force
Rep. Pingree's Bill to Preserve Working Waterfronts Gets First Hearing in 116th Congres; Pingree's 'Keep America's Waterfronts Working Act...,Ocean Conservancy Issues Statement on $700 Million Cut to NOAA Budget Proposed by House
Children’s Museum of the Brazos Valley – “Under the Sea” Oceanography Camp - Maroon Weekly,An ocean of research Hatfield Marine Science Center celebrates 50 years in Newport
"Good for business and nature, kelp grows on Maine fishermen",House Natural Resources Subcommittee Issues Testimony From NOAA Administrator Spinrad
Science - Planetary Science; Findings from  University of Southern California Provides New Data about Planetary Science (Aragonitee Dissolu... and Calcite/aragonite Ratios In Sinking and Suspended Particles In the North Pacific),REP. JOHN CULBERSON
MIL-OSI USA: House OKs bill to fight ocean acidification,New oceanography major now open to undergraduates
MIL-OSI USA: Herrera Beutler’s Bipartisan Bill to Fight Ocean Acidification Passes House,New Federal Money For Hawai'i Ocean Management
Herrera Beutler's Bipartisan Bill to Fight Ocean Acidification Passes House; Rep. Jaime Herrera Beutler (R-WA) News Release,Bristol Bay Students Learn Lessons in State Politics in Juneau
Kilmer's Bipartisan Bill to Fight Ocean Acidification Passes House; Rep. Derek Kilmer (D-WA) News Release,URI to Host Lecture Series on 'State of Our Oceans' Beginning Feb. 8
Marine Research; Investigators at University of Connecticut Report Findings in Marine Research (Citizen Science Observations Reveal Rapid...,REP. RALPH M. HALL HOLDS A HEARING ON THE NOAA AND EPA BUDGETS
Limnology; Reports on Limnology from University of California at San Diego Provide New Insights (Spatiotemporal Variability In Seawater Carb...,Annual best and worst of the past year in state fisheries
"Senate Commerce, Science and Transportation Subcommittee on Science, Oceans, Fisheries, and Weather Hearing; ""Atmospheric Science Research and Forecasting Innovation.""; Testimony by Erika Washburn, Director, Lake Superior National Estuarine Research Reserve...",Cooperative Agreements Make $2 Million Available for American Lobster Research
Ecology Research - Marine Ecology; Findings from University of Washington Provides New Data on Marine Ecology (Characterization of Pacific ...,The world in your hands
"House Natural Resources Subcommittee on Water, Oceans and Wildlife Hearing; H.R.417, to establish measures to combat invasive lionfish...""; H.R.2189, the ""Digital Coast Act""; H.R.2405, to reauthorize and amend the National Sea Grant College Program Act; and H....",Foreign fishermen to 'talk shop' at forum
Life Science Research - Biogeoscience; Investigators at School of Marine and Atmospheric Sciences Describe Findings in Biogeoscience (The Ability of Macroalgae To Mitigate the Negative Effects of Ocean Acidification On Four Species of North Atlantic Bivalve...,Trump's budget cuts may cripple programs
MIL-OSI USA: Chair Huffman Introduces Bipartisan Bill to Reauthorize National Sea Grant College Program,Summer Interns Focus on Seafood Science in Kodiak
"Jaime Herrera Beutler's Bipartisan Bill to Fight Ocean Acidification Approved by Committee, Ready for Full House Vote; Bill helps protect shellfish and fishing industry jobs in Southwest Washington, which contributes 25% of nation's oysters; Rep. Jaime Herrera...","Reps. Pingree, Wittman Reintroduce Bipartisan Bill to Preserve Working Waterfronts"
"Ecology Research - Marine Ecology; New Marine Ecology Study Results from School of Marine and Atmospheric Sciences Described (Interactivee Effects of Acidification , Hypoxia, and Thermal Stress On Growth, Respiration, and Survival of Four North Atlantic Bivalves...",Alaska Mariculture Task Force Issues Final Report Report to Gov. Dunleavy
Chemicals and Chemistry; New Findings from University of California in Chemicals and Chemistry Provides New Insights (Response of Sea Urchin Fitness Traits To Environmental Gradients Across the Southern California Oxygen Minimum Zone),"Reps. Wittman, Pingree Reintroduce Bipartisan Bill to Preserve Working Waterfronts"
Citizen science shows that climate change is rapidly reshaping Long Island Sound,"Cooperative Agreement Makes $36.8 Million Available for Cooperative Institute to Support NOAA Marine Research, Ecosystem Management"
"Kilmer, Herrera Beutler, Bonamici, Young Introduce Bipartisan Bill to Fight Ocean Acidification ; Rep. Derek Kilmer (D-WA) News Release","King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities"
"Herrera Beutler, Kilmer, Bonamici, Young Introduce Bipartisan Bill to Fight Ocean Acidification ; Rep. Jaime Herrera Beutler (R-WA) News Release",Issuance of an Incidental Harassment Authorization Notice Posted in Federal Register
"STATEMENT OF MICHAEL J. CONATHAN, EXECUTIVE DIRECTOR, ASPEN HIGH SEAS INITIATIVE,  THE ASPEN INSTITUTE, COMMITTEE ON SENATE COMMERCEE, SCIEN... AND TRANSPORTATION - NEWS EVENT",Murkowski Supports a Safer and More Prosperous Alaska
"Senate Commerce, Science and Transportation Committee Hearing; ""Our Blue Economy: Successes and Opportunities.""; Testimony by Michael Conathan, Executive Director, Aspen Institute, Aspen High Seas Initiative; WAX32232719S015","House Appropriations Issues Report on Commerce, Justice, Science Appropriations Bill - Title I - Office of Oceanic & Atmospheric Research (Part 4 of 12)"
Chemicals and Chemistry; New Findings from University of California in Chemicals and Chemistry Provides New Insights (Response of Sea Urchin Fitness Traits To Environmental Gradients Across the Southern California Oxygen Minimum Zone),NOAA Fisheries Alaska Issues Report Entitled 'Aquaculture Accomplishments'
Chemicals and Chemistry; New Findings from University of California in Chemicals and Chemistry Provides New Insights (Response of Sea Urchin Fitness Traits To Environmental Gradients Across the Southern California Oxygen Minimum Zone),House Natural Resources Committee Issues Report on Keep America's Waterfronts Working Act
MURKOWSKI INTRODUCES BILL TO ADDRESS OCEAN ACIDIFICATION,"As Earth Day Approaches, Celebrate Texas A&M's Commitment to Sustainability"
Murkowski Introduces Bill to Address Ocean Acidification ; Helping Coastal Communities Better Understand and Respond to Ocean Acidification Impacts; Sen. Lisa Murkowski (R-AK) News Release,House Space Subcommittee Issues Testimony From Mote Marine Laboratory President Crosby
Chemicals and Chemistry; New Findings from University of California in Chemicals and Chemistry Provides New Insights (Response of Sea Urchin Fitness Traits To Environmental Gradients Across the Southern California Oxygen Minimum Zone),REP. JOHN CULBERSON
Washington Daybook,"Island Institute Awarded $240,000 Grant from the National Academies to Support Disaster Preparedness in Maine's Island and Coastal Communities"
Chemicals and Chemistry; New Findings from University of California in Chemicals and Chemistry Provides New Insights (Response of Sea Urchin Fitness Traits To Environmental Gradients Across the Southern California Oxygen Minimum Zone),"King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities"
Chemicals and Chemistry; New Findings from University of California in Chemicals and Chemistry Provides New Insights (Response of Sea Urchin Fitness Traits To Environmental Gradients Across the Southern California Oxygen Minimum Zone),Maine environmental advocates warn of 'crippling' cuts in Trump budget
Ecology Research - Marine Ecology; Findings on Marine Ecology Reported by Investigators at  Louisiana State University (Impacts of... and community structure in two biogeochemically distinct systems in Louisiana...,NOAA: Ensuring A Future For Seafood In A Changing Ocean - Part 2
"MIL-OSI USA: Funding Package to Improve Border Security, Strengthen Infrastructure and Invest in Communities Heads to President",Appropriations Committee Passes Funding For Tsunami Warning System
"FUNDING PACKAGE TO IMPROVE BORDER SECURITY, STRENGTHEN INFRASTRUCTURE AND INVEST IN COMMUNITIES HEADS TO PRESIDENT",Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveys Along the Oregon and California Coasts Notice Posted in Federal Register
"Funding Package to Improve Border Security, Strengthen Infrastructure and Invest in Communities Heads to President; Fully Funds First Heavy Polar Security Cutter in 40 Years; Sen. Lisa Murkowski (R-AK) News Release",The Aua Transect
